global_index,group,source_file,true_label,reconstruction_error,classifier_attack_probability,prototype_attack_probability,distance_to_normal_prototype,distance_to_attack_prototype,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,tsne_x,tsne_y
12268,FeatureGuideHumanMimic_v4,window1.csv,1,1.1043293476104736,1.0212596635028603e-06,0.00012617281754501164,1.234607219696045,3.030153512954712,0.0,0.2783786356449127,0.2850201725959778,0.0,0.23596824705600739,0.0,0.0,0.0,0.0,0.0,0.0,0.26599860191345215,0.0,0.28851163387298584,0.0,0.0,0.34198346734046936,0.0,0.20498089492321014,0.29511043429374695,0.23484684526920319,0.0,0.3421685993671417,0.0,0.0,0.0,0.23790200054645538,0.27794164419174194,0.0,0.0,0.2818727195262909,0.0,-28.177832,24.209564
12269,FeatureGuideHumanMimic_v4,window1.csv,1,1.120041847229004,1.0587132237560581e-06,0.00013273186050355434,1.2348228693008423,3.0202322006225586,0.0,0.27801188826560974,0.2839690148830414,0.0,0.22860920429229736,0.0,0.0,0.0,0.0,0.0,0.0,0.2619228661060333,0.0,0.28847023844718933,0.0,0.0,0.35119009017944336,0.0,0.20294520258903503,0.2937091886997223,0.23498204350471497,0.0,0.34225133061408997,0.0,0.0,0.0,0.23579242825508118,0.2757295072078705,0.0,0.0,0.2884899973869324,0.0,-28.838993,24.242996
12270,FeatureGuideHumanMimic_v4,window1.csv,1,1.1497057676315308,1.0274081887473585e-06,0.00012493431859184057,1.2374248504638672,3.0349442958831787,0.0,0.2768814265727997,0.2832980155944824,0.0,0.23545975983142853,0.0,0.0,0.0,0.0,0.0,0.0,0.26551032066345215,0.0,0.2919161915779114,0.0,0.0,0.3397679924964905,0.0,0.20385386049747467,0.2988976240158081,0.23476749658584595,0.0,0.34000489115715027,0.0,0.0,0.0,0.238565593957901,0.2773459255695343,0.0,0.0,0.2846664488315582,0.0,-27.880249,24.378761
12271,FeatureGuideHumanMimic_v4,window1.csv,1,1.147133231163025,1.0227743132418254e-06,0.00012548592349048704,1.2332366704940796,3.0298750400543213,0.0,0.2788446843624115,0.284270703792572,0.0,0.2291562855243683,0.0,0.0,0.0,0.0,0.0,0.0,0.2610139846801758,0.0,0.29373297095298767,0.0,0.0,0.34167253971099854,0.0,0.2003461718559265,0.29694563150405884,0.23568248748779297,0.0,0.3415118455886841,0.0,0.0,0.0,0.23568491637706757,0.2759525179862976,0.0,0.0,0.2925522029399872,0.0,-28.11679,24.343225
12272,FeatureGuideHumanMimic_v4,window1.csv,1,1.1907014846801758,1.003958686851547e-06,0.00011825024557765573,1.235282063484192,3.043799877166748,0.0,0.27791526913642883,0.2865138649940491,0.0,0.2378489226102829,0.0,0.0,0.0,0.0,0.0,0.0,0.2671443223953247,0.0,0.2954707741737366,0.0,0.0,0.3296279311180115,0.0,0.20070873200893402,0.30123791098594666,0.23690447211265564,0.0,0.336838960647583,0.0,0.0,0.0,0.23922322690486908,0.27960893511772156,0.0,0.0,0.2841756343841553,0.0,-27.310884,24.245468
12273,FeatureGuideHumanMimic_v4,window1.csv,1,1.1680713891983032,1.059683995663363e-06,0.00012874131789430976,1.2381564378738403,3.0296716690063477,0.0,0.27820146083831787,0.2880552113056183,0.0,0.22916267812252045,0.0,0.0,0.0,0.0,0.0,0.0,0.26756569743156433,0.0,0.29218125343322754,0.0,0.0,0.34028446674346924,0.0,0.20350144803524017,0.29777076840400696,0.23103491961956024,0.0,0.3409709334373474,0.0,0.0,0.0,0.2393927425146103,0.2776302695274353,0.0,0.0,0.28328749537467957,0.0,-28.28344,23.851446
12274,FeatureGuideHumanMimic_v4,window1.csv,1,1.1739519834518433,1.05307515241293e-06,0.00012746715219691396,1.2386958599090576,3.032200813293457,0.0,0.2767660319805145,0.2831612229347229,0.0,0.2329512983560562,0.0,0.0,0.0,0.0,0.0,0.0,0.2628929913043976,0.0,0.29528912901878357,0.0,0.0,0.3447718024253845,0.0,0.2024536430835724,0.2987932860851288,0.23396100103855133,0.0,0.33765336871147156,0.0,0.0,0.0,0.2376183271408081,0.2790944576263428,0.0,0.0,0.2835655212402344,0.0,-28.358986,24.49619
12275,FeatureGuideHumanMimic_v4,window1.csv,1,1.1725894212722778,1.0779504009406082e-06,0.00013264671724755317,1.2403689622879028,3.025906562805176,0.0,0.2766111493110657,0.28272098302841187,0.0,0.22948046028614044,0.0,0.0,0.0,0.0,0.0,0.0,0.2613975703716278,0.0,0.29312172532081604,0.0,0.0,0.35052287578582764,0.0,0.20325173437595367,0.29842665791511536,0.2345295399427414,0.0,0.33735424280166626,0.0,0.0,0.0,0.23871445655822754,0.2773694396018982,0.0,0.0,0.28403928875923157,0.0,-28.760231,24.534346
12276,FeatureGuideHumanMimic_v4,window2.csv,1,1.65811288356781,7.050649628581596e-07,8.506081940140575e-05,1.217054843902588,3.0914664268493652,0.0,0.278125137090683,0.2905266284942627,0.0,0.2530224323272705,0.0,0.0,0.0,0.0,0.0,0.0,0.27393561601638794,0.0,0.2848820686340332,0.0,0.0,0.27202871441841125,0.0,0.1881583333015442,0.30189961194992065,0.27203163504600525,0.0,0.3342331051826477,0.0,0.0,0.0,0.27342867851257324,0.27831652760505676,0.0,0.0,0.28202661871910095,0.0,-17.261715,23.92105
12277,FeatureGuideHumanMimic_v4,window2.csv,1,1.5234447717666626,6.246029329304292e-07,7.666443707421422e-05,1.2147603034973145,3.109959602355957,0.0,0.27584514021873474,0.2889536917209625,0.0,0.2529606819152832,0.0,0.0,0.0,0.0,0.0,0.0,0.2700076103210449,0.0,0.2835160195827484,0.0,0.0,0.2525077164173126,0.0,0.17631930112838745,0.30154410004615784,0.2977992594242096,0.0,0.32383155822753906,0.0,0.0,0.0,0.29997754096984863,0.27517277002334595,0.0,0.0,0.27947327494621277,0.0,-10.369438,22.247488
12278,FeatureGuideHumanMimic_v4,window2.csv,1,1.339563012123108,7.016106451374071e-07,8.394984615733847e-05,1.2173452377319336,3.094386577606201,0.0,0.27830401062965393,0.28536948561668396,0.0,0.25375616550445557,0.0,0.0,0.0,0.0,0.0,0.0,0.27164334058761597,0.0,0.2871412932872772,0.0,0.0,0.2709324359893799,0.0,0.18964143097400665,0.30477002263069153,0.27404361963272095,0.0,0.33389967679977417,0.0,0.0,0.0,0.26746413111686707,0.2776974141597748,0.0,0.0,0.2880690395832062,0.0,-17.458698,23.798752
12279,FeatureGuideHumanMimic_v4,window2.csv,1,1.2421826124191284,7.675027973164106e-07,8.900959801394492e-05,1.2201871871948242,3.0855226516723633,0.0,0.27567851543426514,0.28640836477279663,0.0,0.24765212833881378,0.0,0.0,0.0,0.0,0.0,0.0,0.2755010426044464,0.0,0.2883438169956207,0.0,0.0,0.28143200278282166,0.0,0.1937863975763321,0.2977693974971771,0.26138588786125183,0.0,0.34222298860549927,0.0,0.0,0.0,0.2671004831790924,0.27889618277549744,0.0,0.0,0.28567183017730713,0.0,-18.524807,23.676153
