group,feature,normal_mean,group_mean,mean_diff,z_mean_diff,normal_std,group_std,std_ratio_to_normal,normal_iqr,group_iqr,iqr_ratio_to_normal,ks_statistic
StrongHumanMimic,timing_entropy,3.309915043814167,2.1291247440358103,-1.1807902997783568,-4.055078581089171,0.2911880192124916,0.28356734811244444,0.9738290362335064,0.3458328121043839,0.4011702546074343,1.1600121231016902,0.9450926359834779
StrongHumanMimic,pause_duration,0.040395013380036364,0.0491475008952955,0.008752487515259137,0.030669130661015523,0.2853842716313017,0.02843976833252351,0.09965429478631492,0.0298349857330322,0.008866548538208001,0.2971862838329192,0.7391340744212012
StrongHumanMimic,current_key_category_id,1.8133905922301008,1.4886099865047233,-0.3247806057253775,-0.17382685843956783,1.8684144017841169,1.1832204437944231,0.6332751677917844,0.0,0.0,,0.06419406054180854
normal,hold_time,0.11009717424016105,0.11009717424016105,0.0,0.0,0.028566346681203756,0.028566346681203756,1.0,0.0373425483703613,0.0373425483703613,1.0,0.0
normal,flight_time,0.011573146252702152,0.011573146252702152,0.0,0.0,0.2915716598200101,0.2915716598200101,1.0,0.0750865936279296,0.0750865936279296,1.0,0.0
normal,press_to_press_time,0.12167006235456986,0.12167006235456986,0.0,0.0,0.289758055031489,0.289758055031489,1.0,0.057595252990722684,0.057595252990722684,1.0,0.0
normal,release_to_release_time,0.12167012661019846,0.12167012661019846,0.0,0.0,0.29050689011041586,0.29050689011041586,1.0,0.08204197883605961,0.08204197883605961,1.0,0.0
normal,overlap_ratio,0.23627840783293247,0.23627840783293247,0.0,0.0,0.26275443419850797,0.26275443419850797,1.0,0.398407355457103,0.398407355457103,1.0,0.0
normal,simultaneous_key_count,1.7040147807849795,1.7040147807849795,0.0,0.0,0.561629268975198,0.561629268975198,1.0,1.0,1.0,1.0,0.0
normal,modifier_count,0.020944771796664336,0.020944771796664336,0.0,0.0,0.1431996134424317,0.1431996134424317,1.0,0.0,0.0,1.0,0.0
normal,shortcut_flag,0.020944771796664336,0.020944771796664336,0.0,0.0,0.1431996134424317,0.1431996134424317,1.0,0.0,0.0,1.0,0.0
normal,correction_ratio,0.056583046863907624,0.056583046863907624,0.0,0.0,0.09708276027050805,0.09708276027050805,1.0,0.0833333333333333,0.0833333333333333,1.0,0.0
normal,keys_per_second,9.002955158294217,9.002955158294217,0.0,0.0,2.113845275314148,2.113845275314148,1.0,3.0,3.0,1.0,0.0
normal,burst_density,9.002955158294217,9.002955158294217,0.0,0.0,2.113845275314148,2.113845275314148,1.0,3.0,3.0,1.0,0.0
normal,timing_variance,0.12373413320001364,0.12373413320001364,0.0,0.0,0.35309665708061133,0.35309665708061133,1.0,0.073934704422911,0.073934704422911,1.0,0.0
